session_id,user_id,action,timestamp,device,product_id
S002788,U01491,add_cart,2026-06-01 00:30:00,mobile,P0216
S002788,U01491,add_cart,2026-06-01 00:31:14,mobile,P0448
S004892,U07022,add_cart,2026-06-01 00:31:36,pc,P0042
S004892,U07022,add_cart,2026-06-01 00:32:08,pc,P0451
S002788,U01491,add_cart,2026-06-01 00:33:09,mobile,P0455
S004892,U07022,add_cart,2026-06-01 00:33:20,pc,P0310
S004892,U07022,add_cart,2026-06-01 00:33:56,pc,P0467
S002788,U01491,add_cart,2026-06-01 00:33:57,mobile,P0036
S002788,U01491,add_cart,2026-06-01 00:34:57,mobile,P0286
S004892,U07022,add_cart,2026-06-01 00:35:31,pc,P0130
S002788,U01491,add_cart,2026-06-01 00:36:34,mobile,P0224
S004892,U07022,add_cart,2026-06-01 00:37:22,pc,P0301
S004892,U07022,add_cart,2026-06-01 00:37:38,pc,P0088
S002788,U01491,add_cart,2026-06-01 00:37:42,mobile,P0309
S002788,U01491,add_cart,2026-06-01 00:38:28,mobile,P0417
S004892,U07022,add_cart,2026-06-01 00:39:29,pc,P0111
S002788,U01491,add_cart,2026-06-01 00:39:37,mobile,P0156
S004892,U07022,add_cart,2026-06-01 00:40:18,pc,P0170
S004892,U07022,add_cart,2026-06-01 00:42:17,pc,P0318
S004892,U07022,add_cart,2026-06-01 00:43:40,pc,P0355
S004892,U07022,add_cart,2026-06-01 00:45:26,pc,P0368
S004892,U07022,add_cart,2026-06-01 00:46:48,pc,P0339
S004892,U07022,add_cart,2026-06-01 00:48:00,pc,P0082
S004892,U07022,add_cart,2026-06-01 00:49:17,pc,P0031
S004892,U07022,enter_checkout,2026-06-01 00:51:16,pc,
S000884,U02457,add_cart,2026-06-01 01:18:20,pc,P0365
S000884,U02457,add_cart,2026-06-01 01:18:47,pc,P0048
S000884,U02457,add_cart,2026-06-01 01:20:04,pc,P0446
S000884,U02457,enter_checkout,2026-06-01 01:21:31,pc,
S000884,U02457,payment_success,2026-06-01 01:22:52,pc,
S000643,U06002,add_cart,2026-06-01 01:47:53,pc,P0310
S000643,U06002,add_cart,2026-06-01 01:49:49,pc,P0471
S000643,U06002,add_cart,2026-06-01 01:51:16,pc,P0078
S000643,U06002,add_cart,2026-06-01 01:53:15,pc,P0049
S000643,U06002,add_cart,2026-06-01 01:54:04,pc,P0377
S000643,U06002,add_cart,2026-06-01 01:55:54,pc,P0302
S000643,U06002,add_cart,2026-06-01 01:56:45,pc,P0406
S000643,U06002,add_cart,2026-06-01 01:57:49,pc,P0201
S000643,U06002,add_cart,2026-06-01 01:59:04,pc,P0100
S000377,U07740,add_cart,2026-06-01 01:59:35,mobile,P0314
S000377,U07740,add_cart,2026-06-01 02:00:06,mobile,P0321
